problem_description,count,invoice_ids
تركيب SSD + سوفت وير+,1,755
مفصلات,1,761
محتاج هارد -كادي-صيانه دوريه,1,769
بيفصل لوحده عشوائي,1,770
الجهاز بيقفل لوحدو,1,772
شاشه 2200-هاوسنج TO550 FROM750,1,775
Shutdown Automatic - Cooling System,1,779
Upgread Ram to 8G 775,1,780
Change KB 350Le,1,781
Add SSD 128G + Install,1,786
no data to250 from 1300,1,787
الكاميرا لا تعمل,1,791
Very slow,1,802
Broken Hosing,1,803
اصلاح الهاوسنج وزرار الباور,1,807
كسر في الوسينج,1,813
No Data Screen & Keyoard,1,816
Keyboard - Speaker,1,817
صيانه درويه,1,824
Boot Guard Verified Failled Working,1,832
Change New Screen Rang 2000,1,833
اصلاح اماكم مسامير,1,836
Add ssd 128G 1100LE,1,839
عند هز او تحريك الجهاز,1,840
تركيب هارد m=2 128 رام,1,842
اصلاح FAN,1,843
تغيير هارد + زياد رام,1,846
تغيير شاشه + في نسبه,1,847
مشكله في wifi,1,850
Install OS 150LE + KB,1,852
فحص الشاحن و الUSB -,1,855
بطا في فتح الوندوز +,1,857
No Data Working Ring 250To,1,858
Full Test + Fix Fan,1,863
قاطغ داتا رنج من 250,1,867
تغيير الشاشه - صيانه دوريه,1,876
صيانه دوريه 550 ويندوز 150,1,886
اصلاح هاوسنج to650 from850,1,887
ويندوز وتنضيف فلاته االشاشه,1,890
مشكله في المايك والبلوتوز,1,894
الكيبورد و الماوس غير مستقرين,1,895
No Power Working rang 250,1,901
No Boot - كسر ف,1,909
تنزيل سيستم,1,912
Cooling System 550 - Change,1,920
لا يعرض بيانات,1,928
الجهاز لا يعرض,1,931
الجهاز بيفصل بدون الشاحن في,1,933
Slow Post,1,939
Camera Not Work - Bios,1,940
Full Test - العميل بيقول,1,943
الجهاز بطئ - فحص كامل,1,944
تنزسل ويندوز,1,946
صيامه دوريه,1,947
فاصل كيبورد وتاتش بادد رنج,1,955
غير مستتقر في التشغيل -,1,962
kb,1,971
مشكله فريز to250 from1750,1,972
كسر ف الهوسينج رنج من,1,978
صيانه دوريه 850,1,983
الجهاز يعطي رساله لتلف الفان,1,986
Install OS Light,1,988
صيانه دوريه (950),1,994
صيانه دوريه + ويندوز,1,1002
اصلاح هاوسنج,1,1003
الفانه لا تعمل بكفائه -,1,1006
install Os + بعد الويندوز,1,1007
تركيب هارد وكادي,1,1008
NO PWOR 250FROM1450,1,1011
مبيقبلش ويندوز,1,1014
الفانه تالفه محاوله اصلاحها اولا,1,1016
no pwor to 250 from1450,1,1017
مشكله في المفصلات,1,1019
بيعمل لاج وبلو اسكرين,1,1020
كسر في المفصلات,1,1021
USB Not Work - Lequide,1,1029
يحتاج تغيير كيبورد و الUSB,1,1041
قاطع باكلايت,1,1043
Upgread Ram 4G 350LE,1,1055
قاطع باور بشكل كامل العميل,1,1059
كس ف الهاوسنج - الكيبورد,1,1064
Upgread,1,1071
no powr to750 from 1850,1,1072
سوكت البطاريه مخلوع تكلفه 250,1,1075
غيرنا الهارد من فتره وحاليه,1,1076
الجاهز واقع عليه سائل,1,1077
بيفريز + مشكله ف التاتش,1,1091
صيانه دوسه 550 وتغيير كيبورد,1,1092
الكيبورد بتفصل وتشتغل صيانه دوريه,1,1093
مرفوض بس واقف علي رامه,1,1098
قاطع باور بشكل كامل واقع,1,1113
سوكت M.2 مكسور,1,1115
ظهور متكرر لشاشة زرقاء أثناء,1,1122
مشكله ف اهارد ال500,1,1128
احتراق ف فلاته الشاشه ادي,1,1130
مبيحسش بوجود البطاريه ولا بيشحنها,1,1135
No Boot,1,1136
شكوه العميل ان الجهاز مبيشحنش,1,1139
كسر ف الشاشه,1,1144
USB Broken - Removing traces,1,1146
Cooling System Gaming 1,1,1149
الجهاز بيهيس ( فلاته شاشه,1,1150
لا يشحن,1,1151
The battery shows a message,1,1154
No Power (Power Len Working,1,1158
تغيير فانه - كيبورد,1,1169
لا يوجد عرض علي الشاشه,1,1174
TPM Eror,1,1177
صيانه دوريه اوبشن 1200 +,1,1180
Add SSD128G,1,1188
No Working Rang 500 to,1,1189
يوجد صوت قريب من ابروسيسور,1,1191
Change New Battery - Install,1,1192
No Data After Bios Updae,1,1195
جهاز قطع بور,1,1197
No Power Working Ring 1000LE,1,1199
No Power Working Raing 205,1,1200
Chnge USB - TC Port,1,1203
Full Chack,1,1204
No Data - الفانه مكسوره,1,1205
كسر ف الشاشه - بدون,1,1206
No Power - بدون باك,1,1208
Check Charging Circuit - Change,1,1209
Change Screen - Fix Hosing,1,1212
Battery Not Detict - Very,1,1214
Switch Housing (A-B),1,1215
تغيير الكيبورد,1,1218
لا يشحن البطاريه العمل تحت,1,1219
Cooling System 650,1,1220
No Power 250 to 1350LE,1,1221
كسر ف الشاشه تكلفه الاصلاح,1,1223
Blue Screen - Working Rang,1,1224
No Data - غير مستقر,1,1225
Install OS - Change Power,1,1230
Change Ethernat Port,1,1232
التاتش باد و الكلكات لا,1,1234
Add SSD 128G 1150 +,1,1236
الجهاز لا يعرض بيانات على,1,1241
Fix Hosing - Cooling System,1,1244
Fan Full Speed Working Raing,1,1245
Add Ram + SSD,1,1248
Add SSD,1,1249
No Power - انسكاب سائل,1,1250
No Data - Working Rang,1,1251
الUSBs لا يعملو... لو المشكله,1,1255
Cooling System 650 0 Descouint,1,1257
keyboard (shift Button),1,1263
Screen is Broken,1,1264
Win Freeze,1,1265
Cooling System - Full Test,1,1270
No Power - يحدث شورت,1,1272
Upgrad,1,1273
Install OS - Battery,1,1274
add SSD - Chick Ram,1,1275
No Backlighit,1,1279
Power Surge On the USB,1,1280
Change New Sceen 15.6 3200LE,1,1281
Fix Hosing Working Raing 950,1,1285
No Power - مطلوب تغيير,1,1294
Change New KB Orignall 1850LE,1,1299
الجهاز لا يقراء الرامات على,1,1305
انسكب عليه سائل - العمل,1,1306
العمل تحت رنج تكلفه من,1,1315
No Power Working Ranig 500,1,1316
Cooling System Ultra 1200,1,1321
NO Power - Working Raing,1,1322
NO Power Working Raing 500,1,1323
البورت الاكسترنل لا يعمل ...,1,1325
No Power - Watter DDamige,1,1326
No Power Working Raing 1000LE,1,1329
No Power - Liquid Damage,1,1332
Unlock Bios Password,1,1333
NO Power = كسر ف,1,1339
الجهاو بياوفر هيت - شاشه,1,1344
لا يعمل باور - اوقات,1,1345
Cooling System G1 850,1,1356
Cooling System 850LE,1,1358
الجهاز لا يعمل على البطايه,1,1363
Cooling System Pr0 850,1,1364
Fix Hosing 750 - 1200,1,1367
No Power = منسكب عليه,1,1369
No Power احتراق ف Type,1,1371
No Power Lequid Damige Working,1,1376
No Power - Restarting Automayic,1,1378
Fix Hosing Working Raing 450,1,1379
Cooling System Pro 850 +,1,1383
Power Not Stable KB not,1,1391
Hosing is broken - full,1,1392
Full Test 3 labtop (HP,1,1393
Fix Or ChANGE hOSING,1,1403
اللابتوب بيرستر اوتوماتيك بعد فتره,1,1406
Install Windwos In MAc 550LE,1,1408
Change KB + Battery,1,1416
